author_id,openalex,orcid,scopus,twitter,wikipedia,mag
5087249091,5087249091,,,,,
5062915596,5062915596,,,,,
5022190089,5022190089,,,,,
5050964499,5050964499,,,,,
5075010605,5075010605,,,,,
5008974874,5008974874,,,,,
5002139034,5002139034,,,,,
5023158589,5023158589,,,,,
5065552531,5065552531,,,,,
5090856588,5090856588,,,,,
5000241801,5000241801,,,,,
5069963505,5069963505,,,,,
5071865686,5071865686,,,,,
5010042476,5010042476,,,,,
5017707285,5017707285,,,,,
5053730749,5053730749,,,,,
5029042842,5029042842,,,,,
5090170009,5090170009,,,,,
5075959498,5075959498,,,,,
5088250792,5088250792,,,,,
5084821703,5084821703,,,,,
5039553335,5039553335,0000-0002-7790-939X,,,,
5083513594,5083513594,,,,,
5047860725,5047860725,,,,,
5001247168,5001247168,,,,,
5007226805,5007226805,,,,,
5067083570,5067083570,,,,,
5088774335,5088774335,,,,,
5047975619,5047975619,,,,,
5052796219,5052796219,,,,,
5057126228,5057126228,,,,,
5071907383,5071907383,,,,,
5055704153,5055704153,,,,,
5060074227,5060074227,,,,,
5068086817,5068086817,,,,,
5091239365,5091239365,,,,,
5028220643,5028220643,,,,,
5084721919,5084721919,,,,,
5005914009,5005914009,,,,,
5034243585,5034243585,0000-0001-5085-2015,,,,
5048078588,5048078588,,,,,
5048466472,5048466472,,,,,
5057198702,5057198702,,,,,
5067235788,5067235788,,,,,
5076559815,5076559815,,,,,
5086511085,5086511085,,,,,
5005020376,5005020376,,,,,
5022425980,5022425980,,,,,
5028999916,5028999916,,,,,
5029924681,5029924681,,,,,
5056029393,5056029393,,,,,
5065061430,5065061430,,,,,
5008513659,5008513659,,,,,
5045541568,5045541568,0000-0002-5986-962X,,,,
5079320024,5079320024,,,,,
5085701476,5085701476,,,,,
5029873389,5029873389,,,,,
5054466592,5054466592,,,,,
5082696829,5082696829,0000-0001-7088-2035,,,,
5042635009,5042635009,,,,,
5028386879,5028386879,,,,,
5078586744,5078586744,,,,,
5024332613,5024332613,,,,,
5061039751,5061039751,,,,,
5080782025,5080782025,0000-0002-6516-8352,inward/authorDetails.url?authorID=7006481020&partnerID=MN8TOARS,,,
5022729625,5022729625,,,,,
5036662362,5036662362,,,,,
5080874815,5080874815,,,,,
5062074070,5062074070,,,,,
5051475312,5051475312,0000-0003-2449-2663,,,,
5052205279,5052205279,,,,,
5079362604,5079362604,,,,,
5081763586,5081763586,,,,,
5034812092,5034812092,,,,,
5046371155,5046371155,,,,,
5008144877,5008144877,,,,,
5025389409,5025389409,,,,,
5045820780,5045820780,0000-0001-5509-2561,,,,
5012287162,5012287162,,,,,
5044782313,5044782313,,,,,
5062872027,5062872027,,,,,
5089362934,5089362934,,,,,
5073347409,5073347409,0000-0003-3388-3850,,,,
5086736655,5086736655,,,,,
5040010116,5040010116,,,,,
5062080272,5062080272,,,,,
5058798806,5058798806,,,,,
5086983410,5086983410,,,,,
5027477693,5027477693,,,,,
5008496635,5008496635,0000-0003-3842-9454,inward/authorDetails.url?authorID=7007055472&partnerID=MN8TOARS,,,
5072262259,5072262259,,,,,
5020483292,5020483292,,,,,
5049439898,5049439898,,,,,
5067845888,5067845888,,,,,
5080419223,5080419223,,,,,
5076254444,5076254444,,,,,
5058161260,5058161260,,,,,
5075822266,5075822266,,,,,
5033181376,5033181376,,,,,
5005123802,5005123802,,,,,
5065889843,5065889843,,,,,
5025986188,5025986188,,,,,
5083296313,5083296313,0000-0001-5600-8034,,,,
5004747807,5004747807,,,,,
5046367144,5046367144,0009-0002-6397-4614,,,,
5033872453,5033872453,,,,,
5083981519,5083981519,,,,,
5033204973,5033204973,,,,,
5061531752,5061531752,0000-0001-6260-6479,,,,
5056461765,5056461765,,,,,
5085932070,5085932070,,,,,
5009687540,5009687540,,,,,
5087602901,5087602901,,,,,
5026940991,5026940991,,,,,
5013514001,5013514001,,,,,
5084419303,5084419303,,,,,
5087305515,5087305515,,,,,
5076381637,5076381637,,,,,
5085591989,5085591989,,,,,
5066809107,5066809107,,,,,
5022719891,5022719891,,,,,
5080719634,5080719634,0000-0002-9764-4368,,,,
5008679646,5008679646,,,,,
5020825814,5020825814,0000-0002-1068-6734,,,,
5059536702,5059536702,,,,,
5011743476,5011743476,,,,,
5015987754,5015987754,0000-0001-8712-3051,,,,
5043776379,5043776379,,,,,
5038838837,5038838837,,,,,
5083043755,5083043755,,,,,
5064606248,5064606248,,,,,
5083251793,5083251793,,,,,
5004932139,5004932139,,,,,
5049404359,5049404359,,,,,
5024951508,5024951508,,,,,
5018227642,5018227642,,,,,
5033632800,5033632800,,,,,
5020207018,5020207018,,,,,
5047461444,5047461444,,,,,
5065753963,5065753963,,,,,
5073491740,5073491740,,,,,
5030232420,5030232420,,,,,
5082202542,5082202542,0000-0002-6558-4639,inward/authorDetails.url?authorID=7003741045&partnerID=MN8TOARS,,,
5089085199,5089085199,,,,,
5013414360,5013414360,,,,,
5025191886,5025191886,,,,,
5075559582,5075559582,,,,,
5019123826,5019123826,,,,,
